Major_code,Total,Employed,Employed_full_time_year_round,Unemployed,Median,P25th,P75th
2303,2396,1492,1093,169,41000,33200,50000.0
2301,4037,3113,2468,0,58000,44750,79000.0
3801,4315,1650,1708,187,64000,39750,90000.0
5001,4700,3400,2447,320,80000,40000,106000.0
3607,5015,3481,2579,57,60000,35000,105000.0
2411,6264,4120,3350,0,85000,55000,125000.0
3605,6362,4747,3498,206,48000,33000,80000.0
1106,6586,4926,4042,264,63000,39400,88000.0
4006,6898,5527,3639,284,53000,31500,93000.0
4005,7184,5874,5039,150,92000,53000,136000.0
5008,7208,5866,4505,134,75000,60000,100000.0
5202,7638,5128,3297,587,45000,26100,62000.0
5005,8267,6129,5020,274,57000,36000,80000.0
6099,8511,6431,3802,1190,45000,30000,60000.0
1199,8549,6392,5074,261,52000,35000,75000.0
5000,8856,5872,4961,238,60000,38000,89000.0
3201,9330,7270,6143,518,50000,34000,75000.0
6202,9763,7846,6880,466,72000,53000,115000.0
2418,9826,7320,6474,527,95000,65000,128000.0
5006,10741,7882,6508,449,55000,40000,90000.0
2416,10746,7416,6419,366,92000,52000,124000.0
5206,10871,6897,5226,660,47000,35000,70000.0
5102,12166,9560,7238,718,62000,45000,80000.0
2415,12818,6939,5462,326,96000,65000,123000.0
2410,13016,9849,8104,472,70000,50000,95000.0
3611,13676,8987,5446,665,35000,28000,52000.0
5201,14041,8751,5763,716,40000,33000,70000.0
5002,14051,11252,9098,429,60000,39000,90000.0
3602,14135,9284,6333,327,50000,32000,75000.0
5402,14782,11147,8196,959,60000,38000,90000.0
5701,15726,12607,10453,692,48000,32000,75000.0
5599,15882,12307,9444,708,52000,40000,80000.0
2417,16094,10690,9226,449,97000,60000,125000.0
3501,16193,7091,4330,743,40000,30000,55000.0
5203,17633,13071,8888,954,39000,25000,50000.0
6403,17746,11887,8204,943,50000,39000,81000.0
5205,17969,11878,8631,1084,62000,40000,84000.0
2404,18347,12876,9202,1105,65000,40000,96000.0
3701,19112,15136,12109,892,70000,47000,106000.0
2403,19587,13713,11180,1017,78000,50000,102000.0
2419,19631,14002,11636,617,125000,75000,210000.0
2409,20582,14909,12257,683,65000,45000,100000.0
2413,21430,14687,11871,933,78000,55000,105000.0
1104,24280,17281,12722,894,62000,38500,90000.0
3702,24806,18808,14468,1138,70000,43000,102000.0
3603,28197,20221,13366,1303,45000,30000,70000.0
2101,29317,22828,18747,2265,60000,40000,85000.0
2504,29348,24190,21273,1101,60000,40000,82000.0
3699,29389,22298,16508,1114,52000,33500,72800.0
6106,32514,19009,13147,1431,50000,34000,85000.0
2402,32748,24270,18621,1521,62000,40000,91000.0
1102,33955,26321,22810,821,63000,40000,98000.0
5299,34102,23921,15688,2137,45000,30000,70000.0
2500,37382,30102,25651,1475,63000,40000,93000.0
2106,39362,32366,28156,2626,55000,40000,80000.0
2201,42325,33388,25780,1941,40000,26200,60000.0
3608,43984,31394,20207,1692,50000,30000,75000.0
4000,45199,35706,26038,2990,43000,32000,55000.0
3604,45368,36708,25677,1888,47500,32000,73000.0
3402,46188,29971,19460,2530,46700,30000,70000.0
2501,47098,27275,22104,1577,74000,50000,107000.0
2107,51771,44071,35954,2748,55000,36000,80000.0
5401,54636,37879,31262,2836,56000,40000,85000.0
6003,55141,41098,23479,4297,40000,27000,59000.0
3609,55395,35714,26152,1815,55000,34000,85000.0
2308,56477,36224,24817,1596,46000,35000,61000.0
4001,56580,43114,27499,3462,45000,30000,69000.0
6110,56741,42543,28912,3032,47000,32800,70000.0
2499,57006,43906,37194,2744,70000,50000,100000.0
6204,57200,47341,41104,2141,65000,45000,90000.0
2603,57793,34696,23046,2707,45000,30000,75000.0
3302,59211,44913,29628,3569,40000,28800,65000.0
4007,61871,43312,31078,3030,45000,33000,67000.0
2001,62141,49609,37261,4609,50000,34500,75000.0
2599,64196,53097,46183,3401,63000,42000,90000.0
6104,64316,51279,25118,1660,55000,37000,75000.0
4002,64534,43878,28112,2961,49500,34000,69000.0
2401,65734,44944,38491,1969,80000,58000,110000.0
3202,67037,49259,37254,3699,48000,34000,70000.0
2305,68808,47203,29494,1610,43000,34000,60000.0
3606,68885,45422,33990,2435,60000,40000,85000.0
1302,69447,48228,39613,2144,58000,40500,80000.0
6102,74977,49393,26085,2407,42000,30000,60000.0
5503,75085,59534,48763,4106,49000,35000,72000.0
3601,75322,52594,37103,4056,53000,33000,82000.0
6205,75547,57983,48471,3816,65000,45000,100000.0
2601,75791,45657,30428,4043,48000,30000,70000.0
5505,77371,56564,42091,4278,55000,40000,89000.0
6199,77647,52610,35676,2978,45000,32000,62000.0
2105,77805,66393,57604,3704,68000,46200,95000.0
1105,79409,63043,51077,2070,50000,35000,75000.0
6007,81008,58799,36943,5372,37600,24900,58000.0
5403,81786,61402,44959,4794,38000,29000,52000.0
2503,82142,65401,57266,3431,70000,48000,98000.0
1303,83188,65937,50595,3789,52000,37100,75000.0
6210,86064,66453,51012,5106,54000,38600,80000.0
2312,88067,58885,37892,2032,40000,30000,51000.0
6006,90852,61295,38989,4185,44500,30000,70000.0
5601,92346,79055,65916,4257,65000,45000,95000.0
2502,94697,73737,64157,4572,67000,46900,91000.0
1101,95326,76865,64240,2266,54000,36000,80000.0
6299,102753,77471,61603,4308,53000,36000,83000.0
1103,103549,81177,64937,3619,46000,30000,72000.0
1501,103740,75798,50530,5525,46000,32000,71000.0
6100,104516,78198,53746,4525,50000,35000,73000.0
1301,106106,87602,65238,4736,52000,38000,75000.0
5004,107902,75698,59262,5272,65000,42000,100000.0
6103,108510,85360,67294,5160,50000,35000,75000.0
5504,115423,83671,63070,6202,54000,38300,78000.0
5007,122620,80797,60812,4440,70000,40000,110000.0
5901,126639,98814,83519,4902,67000,42500,98000.0
2311,127022,78785,51632,3800,45000,33000,64000.0
5500,127363,80165,57036,6132,50000,35000,75000.0
1100,128148,90245,74078,2423,50000,34000,80000.0
6005,133508,107651,69303,10080,47000,30000,70000.0
2412,138366,101273,85014,5498,75000,50000,101000.0
5502,143087,102399,66046,8684,43000,30000,68000.0
2310,149689,108272,71615,5357,42000,34000,53000.0
2407,154160,128742,111025,7456,80000,60000,107000.0
6212,156673,134478,118249,6186,72000,50000,100000.0
2307,157079,113460,71133,5890,35300,27000,45800.0
6105,164990,121479,92128,4564,60000,45000,76000.0
6001,174817,135071,81519,11789,42000,29000,62000.0
6108,180084,124058,89234,4414,106000,78000,125000.0
2313,181445,111347,67651,5624,42000,32000,54000.0
1904,186829,147433,111552,10624,50000,34000,75000.0
6209,187274,142879,116466,9241,54000,38000,80000.0
2405,188046,131697,109406,6388,86000,60000,120000.0
6211,200854,163393,122499,8862,49000,33000,70000.0
4801,205763,138734,95429,11252,45000,30000,70000.0
1903,211213,170474,125489,15431,48000,32000,70000.0
2309,224262,129486,88917,5925,45000,34000,60000.0
2399,225553,126054,91322,5145,50000,35600,71000.0
2314,231861,155159,94756,6629,42600,32000,56000.0
4901,232865,164827,121606,7317,40000,27000,56000.0
2602,236342,153654,99459,9598,48000,33500,69000.0
6109,252138,199174,128115,5378,61000,40000,80000.0
2100,253782,218248,189950,11945,65000,45000,90000.0
6002,276262,192704,116142,11155,45000,30000,67000.0
2306,281661,193542,136343,9389,48400,34000,66500.0
1401,294692,216770,163020,20394,63000,40400,93500.0
5003,308062,198075,153308,11468,59000,38700,90000.0
5404,319163,225081,164020,14208,40000,30000,53000.0
4101,350409,286683,204242,14108,44000,30000,60000.0
2406,358593,262831,220528,14823,78000,55000,105000.0
2901,402038,241585,154167,14273,40500,30000,60000.0
1902,418104,314438,235407,20754,50000,35000,80000.0
5098,427953,308461,238933,14613,56000,38000,85000.0
3700,432806,280902,209838,15701,66000,42000,100000.0
2400,503080,359172,312023,17986,75000,50000,100000.0
6004,504657,379980,266671,30330,46600,32000,70000.0
6000,571961,386961,256747,29912,45000,30000,70000.0
2414,581529,422207,362053,19360,80000,59000,110000.0
3401,601221,404932,296792,29348,50000,33000,75000.0
2408,671647,489965,422317,26064,88000,60000,116000.0
5507,674558,459174,336515,32344,47000,33000,70000.0
6402,712509,478416,354163,33725,50000,35000,80000.0
5506,748956,541630,421761,40376,58000,38000,90000.0
5301,757141,613369,517599,35037,50000,35000,74000.0
5501,757616,535446,430580,34974,69000,42000,110000.0
2102,783292,656372,561052,34196,78000,51000,105000.0
6207,816548,670681,561073,34166,65000,45000,100000.0
3600,839454,583079,422788,36757,51000,35000,80000.0
1901,987676,790696,595739,54390,50000,35000,80000.0
3301,1098647,708882,482229,52248,50000,32900,75000.0
6206,1114624,890125,704912,51839,56000,38500,90000.0
2300,1438867,843693,591863,38742,43000,32000,59000.0
2304,1446701,819393,501786,32685,40000,31000,50000.0
5200,1484075,1055854,736817,79066,45000,31000,68000.0
6107,1769892,1325711,947546,36503,62000,48000,80000.0
6201,1779219,1335825,1095027,75379,65000,42500,100000.0
6200,2148712,1580978,1304646,85626,60000,40000,95000.0
6203,3123510,2354398,1939384,147261,58000,39500,86000.0
